工項碼,名稱,規格,單位,群組,分類,敷設,牌價(待填),工率_普通
PL-RT-450,通信電纜線,０．９ｍ／ｍ ２００Ｐ,M,電線,管線材料,管內,,0.075
PL-RT-445,通信電纜線,０．９ｍ／ｍ ２０Ｐ,M,電線,管線材料,管內,,0.02
PL-RT-446,通信電纜線,０．９ｍ／ｍ ２４Ｐ,M,電線,管線材料,管內,,0.022
PL-RT-433,通信電纜線,０．９ｍ／ｍ ２Ｃ,M,電線,管線材料,管內,,0.004
PL-RT-451,通信電纜線,０．９ｍ／ｍ ３００Ｐ,M,電線,管線材料,管內,,0.09
PL-RT-447,通信電纜線,０．９ｍ／ｍ ３０Ｐ,M,電線,管線材料,管內,,0.03
PL-RT-434,通信電纜線,０．９ｍ／ｍ ３Ｃ,M,電線,管線材料,管內,,0.005
PL-RT-452,通信電纜線,０．９ｍ／ｍ ４００Ｐ,M,電線,管線材料,管內,,0.11
PL-RT-435,通信電纜線,０．９ｍ／ｍ ４Ｃ,M,電線,管線材料,管內,,0.006
PL-RT-448,通信電纜線,０．９ｍ／ｍ ５０Ｐ,M,電線,管線材料,管內,,0.045
PL-RT-436,通信電纜線,０．９ｍ／ｍ ５Ｃ,M,電線,管線材料,管內,,0.007
PL-RT-440,通信電纜線,０．９ｍ／ｍ ５Ｐ,M,電線,管線材料,管內,,0.011
PL-RT-453,通信電纜線,０．９ｍ／ｍ ６００Ｐ,M,電線,管線材料,管內,,0.135
PL-RT-437,通信電纜線,０．９ｍ／ｍ ６Ｃ,M,電線,管線材料,管內,,0.008
PL-RT-438,通信電纜線,０．９ｍ／ｍ ８Ｃ,M,電線,管線材料,管內,,0.009
PL-RT-439,通信電纜線,０．９ｍ／ｍ ９Ｃ,M,電線,管線材料,管內,,0.01
PL-RT-604,電纜終端頭,3C 14m/m2以下,只,電線,管線材料,—,,0.38
PL-RT-608,電纜終端頭,3C 150m/m2,只,電線,管線材料,—,,1.555
PL-RT-609,電纜終端頭,3C 200m/m2以上,只,電線,管線材料,—,,1.81
PL-RT-605,電纜終端頭,3C 22-38m/m2,只,電線,管線材料,—,,0.48
PL-RT-606,電纜終端頭,3C 50-60m/m2,只,電線,管線材料,—,,0.685
PL-RT-607,電纜終端頭,3C 80-100m/m2,只,電線,管線材料,—,,0.91
PL-RT-537,電纜線架,2MM(厚度) 伸縮直式電纜線架 1000W,M,電線,管線材料,—,,0.287
PL-RT-529,電纜線架,2MM(厚度) 伸縮直式電纜線架 200W,M,電線,管線材料,—,,0.125
PL-RT-530,電纜線架,2MM(厚度) 伸縮直式電纜線架 300W,M,電線,管線材料,—,,0.145
PL-RT-531,電纜線架,2MM(厚度) 伸縮直式電纜線架 400W,M,電線,管線材料,—,,0.165
PL-RT-532,電纜線架,2MM(厚度) 伸縮直式電纜線架 500W,M,電線,管線材料,—,,0.185
PL-RT-533,電纜線架,2MM(厚度) 伸縮直式電纜線架 600W,M,電線,管線材料,—,,0.195
PL-RT-534,電纜線架,2MM(厚度) 伸縮直式電纜線架 700W,M,電線,管線材料,—,,0.215
PL-RT-535,電纜線架,2MM(厚度) 伸縮直式電纜線架 800W,M,電線,管線材料,—,,0.225
PL-RT-536,電纜線架,2MM(厚度) 伸縮直式電纜線架 900W,M,電線,管線材料,—,,0.249
PL-RT-546,電纜線架,3MM(厚度) 伸縮直式電纜線架 1000W,M,電線,管線材料,—,,0.305
PL-RT-538,電纜線架,3MM(厚度) 伸縮直式電纜線架 200W,M,電線,管線材料,—,,0.135
PL-RT-539,電纜線架,3MM(厚度) 伸縮直式電纜線架 300W,M,電線,管線材料,—,,0.155
PL-RT-540,電纜線架,3MM(厚度) 伸縮直式電纜線架 400W,M,電線,管線材料,—,,0.173
PL-RT-541,電纜線架,3MM(厚度) 伸縮直式電纜線架 500W,M,電線,管線材料,—,,0.195
PL-RT-542,電纜線架,3MM(厚度) 伸縮直式電纜線架 600W,M,電線,管線材料,—,,0.205
PL-RT-543,電纜線架,3MM(厚度) 伸縮直式電纜線架 700W,M,電線,管線材料,—,,0.225
PL-RT-544,電纜線架,3MM(厚度) 伸縮直式電纜線架 800W,M,電線,管線材料,—,,0.235
PL-RT-545,電纜線架,3MM(厚度) 伸縮直式電纜線架 900W,M,電線,管線材料,—,,0.265
PL-RT-592,電纜頭處理,2MM預鑄式 15KV 125m/m2-150m/m2,只,電線,管線材料,—,,0.471
PL-RT-593,電纜頭處理,2MM預鑄式 15KV 200m/m2,只,電線,管線材料,—,,0.533
PL-RT-588,電纜頭處理,2MM預鑄式 15KV 22m/m2以下,只,電線,管線材料,—,,0.282
PL-RT-594,電纜頭處理,2MM預鑄式 15KV 250m/m2,只,電線,管線材料,—,,0.565
PL-RT-589,電纜頭處理,2MM預鑄式 15KV 30m/m2-38m/m2,只,電線,管線材料,—,,0.329
PL-RT-595,電纜頭處理,2MM預鑄式 15KV 325m/m2,只,電線,管線材料,—,,0.628
PL-RT-590,電纜頭處理,2MM預鑄式 15KV 50m/m2-60m/m2,只,電線,管線材料,—,,0.393
PL-RT-591,電纜頭處理,2MM預鑄式 15KV 80m/m2-100m/m2,只,電線,管線材料,—,,0.44
PL-RT-600,電纜頭處理,2MM預鑄式 25KV 125m/m2-150m/m2,只,電線,管線材料,—,,0.565
PL-RT-601,電纜頭處理,2MM預鑄式 25KV 200m/m2,只,電線,管線材料,—,,0.628
PL-RT-596,電纜頭處理,2MM預鑄式 25KV 22m/m2以下,只,電線,管線材料,—,,0.314
PL-RT-602,電纜頭處理,2MM預鑄式 25KV 250m/m2,只,電線,管線材料,—,,0.691
PL-RT-597,電纜頭處理,2MM預鑄式 25KV 30m/m2-38m/m2,只,電線,管線材料,—,,0.376
PL-RT-603,電纜頭處理,2MM預鑄式 25KV 325m/m2,只,電線,管線材料,—,,0.754
PL-RT-598,電纜頭處理,2MM預鑄式 25KV 50m/m2-60m/m2,只,電線,管線材料,—,,0.455
PL-RT-599,電纜頭處理,2MM預鑄式 25KV 80m/m2-100m/m2,只,電線,管線材料,—,,0.502
PL-RT-584,電纜頭處理,2MM預鑄式 6.6KV以下 125m/m2-150m/m2,只,電線,管線材料,—,,0.345
PL-RT-585,電纜頭處理,2MM預鑄式 6.6KV以下 200m/m2,只,電線,管線材料,—,,0.376
PL-RT-580,電纜頭處理,2MM預鑄式 6.6KV以下 22m/m2以下,只,電線,管線材料,—,,0.251
PL-RT-586,電纜頭處理,2MM預鑄式 6.6KV以下 250m/m2,只,電線,管線材料,—,,0.4083
PL-RT-581,電纜頭處理,2MM預鑄式 6.6KV以下 30m/m2-38m/m2,只,電線,管線材料,—,,0.282
PL-RT-587,電纜頭處理,2MM預鑄式 6.6KV以下 325m/m2,只,電線,管線材料,—,,0.44
PL-RT-582,電纜頭處理,2MM預鑄式 6.6KV以下 50m/m2-60m/m2,只,電線,管線材料,—,,0.298
PL-RT-583,電纜頭處理,2MM預鑄式 6.6KV以下 80m/m2-100m/m2,只,電線,管線材料,—,,0.329
